CLADE NAME: CLADE_3
MIN REGION LEN: 4
CONSENSUS: 0.9

ID	 Pos	 Len	 PhysicoChemical property
1	 34	 6	 FHFFFF
2	 42	 6	 PFHFFF
3	 71	 9	 HHHHFHPHN
4	 81	 8	 HFFFHHNP
5	 90	 5	 FHHFH
6	 104	 6	 FFFHHH
7	 113	 9	 HFHFHHNFP
8	 126	 7	 FNPFFFF
9	 134	 7	 HHFNNFH
10	 147	 15	 FPNFPFHNHHFPHFH
11	 168	 27	 FHFFNNFPFNNHHFHFFHFNNHFFPNH
12	 197	 15	 FPFFFFHPHPFHHFH
13	 217	 16	 HFNNFPFNNHPFHHFH
14	 241	 14	 HFPPFFFNHHFFHH
15	 256	 4	 HFHN
16	 261	 19	 FFFHFFHFHNFHFFPHHFH
17	 282	 9	 HFHFHHHHF
18	 295	 14	 FHNHPFHPFHHHFF
19	 310	 39	 FFPHFFPFNFHHHHFHHFHHHFFNNFNHFHHFFFPHHHF
20	 350	 12	 HHHPFPFFPNFF
21	 367	 10	 PFHFPHFFHH
22	 378	 13	 HNPFPHFFFPNFH
23	 392	 5	 NFFNH
24	 503	 9	 NHFPFHFPF
25	 514	 42	 HFHFFPFHFFPFHPHHFFHHFHNHFFHHNPHNFFFHFFNHNH
26	 557	 15	 FPFHFFHFNHHH---------------FFF
27	 588	 9	 NNHHFHFNH
28	 602	 36	 PFFH--HH-HHFHPNHNPNHFPHHHFHFFFFFHHFFFFF
29	 644	 20	 F-FFFFHFFFPPHHHFFHPHH-
30	 667	 36	 FHP-------HP--PPPNNFFNFHHPPNHHFFNFPNH--HFHFFHFH-----
31	 721	 24	 HFHPNNFF-FPHFFHHHHFHFFPHH
32	 747	 4	 HNH----H
